environment,table,pipeline_rows,dashboard_rows,row_diff,pipeline_cols,dashboard_cols,common_cols,missing_cols_in_dashboard,extra_cols_in_dashboard,content_hash_match_on_common_cols,pipeline_hash_common,dashboard_hash_common,metadata_sourceMode,metadata_sourcePath,metadata_syncedAt
reference,consumo_forecast_diario,140.0,1825.0,1685.0,16.0,5.0,5.0,abs_error|actual_source|ape|forecast_run_date|forecast_run_timestamp|forecast_source|horizon_days|model_name|pipeline_run_id|service_source_context|signed_error,,False,a163338c60f7358d78d6d2162b44cd19c498b2aac9bcdc9b09e5a3c81bc7c27b,797ac0d512af5054f964ff4ea633d4df7959eb3553625177a02a6159475eddf7,,,
reference,consumo_forecast_semanal,25.0,265.0,240.0,15.0,4.0,4.0,abs_error|actual_source|actual_truth_status|ape|forecast_run_date|forecast_run_timestamp|forecast_source|horizon_weeks|horizon_weeks_bucket|pipeline_run_id|signed_error,,False,f57d7be30c5a221ad3ebf1bcace8d83901003a965a2d6b82a9a8769d414d058f,cc64d31bb48d2098edb575af4fda371c7c557d1fe5e4785d7a856e8f170715ef,,,
reference,consumo_vs_2024_diario,1195.0,1825.0,630.0,13.0,4.0,4.0,actual_source_2024|actual_source_current|actual_truth_status_2024|actual_truth_status_current|day_of_week|diff_abs_vs_2024|diff_pct_vs_2024|month|week_of_year,,False,16bdd4e737f9ebd884d5c0d18baf53e5137eac2c9d083c77ca3833b297996fc1,d3a05bff53cf59ca8dfd7e86ffc55e0d6104b9ca9a3598811e5b4dc3bf8fcacc,,,
reference,consumo_vs_2024_semanal,171.0,265.0,94.0,13.0,4.0,4.0,actual_source_2024|actual_source_current|actual_truth_status_2024|actual_truth_status_current|comparison_week_2024|diff_abs_vs_2024|diff_pct_vs_2024|iso_week|iso_year,,False,892a23b8c0aade0bbe67e5cf81e9768f4c1eabfc36a5096aa9f9eb445a15d305,a701df751c2f487237044b0f4d7009f287cedfe5408d071e9d2aa3e7fd8393d3,,,
reference,consumo_progreso_actual,15.0,15.0,0.0,21.0,7.0,7.0,actual_source|actual_source_2024|actual_truth_status|actual_truth_status_2024|diff_vs_2024_acumulado|forecast_acumulado_hasta_hoy|forecast_total_periodo_method|gap_actual_vs_forecast|pct_cumplimiento_forecast|period_end_date|period_start_date|plan_history_coverage_days|plan_history_coverage_pct|plan_history_expected_days,,False,9f703c18f4c6b759a7b86b28b146a214794650a46859ab183c66677d79971151,88012786ac05b6b79e1fd7925741135ed45e8c09fe1c20bd43edfd1984c78479,,,
reference,dim_kpi,5.0,5.0,0.0,10.0,5.0,5.0,comentario_operativo|familia_kpi|horizonte_recomendado|usar_diario|usar_semanal,,False,e959a7209915fa64b6cc1a3352297c102ab3ca94c7d1ebf827ee5e33e62db9b4,a2d5cf9805d22b173c6396a423539b3c723ec714d4cb131b6d6c400d8b1cc69c,,,
reference,_metadata,,,,,,,,,,,,demo,demo_embebido (outputs/consumption no encontrado o incompleto),2026-03-30T19:40:30.370Z
current,consumo_forecast_diario,140.0,140.0,0.0,16.0,16.0,16.0,,,False,35234d79c5a82c2bfaa50110a77ef4f23b2f9fe9904a1535bc2613ed99d716d7,733d43432a6c3349aba1d676421c90250c3fa4364b77955bcd0dcd7c23041070,,,
current,consumo_forecast_semanal,25.0,25.0,0.0,15.0,15.0,15.0,,,False,4bb637b56b4686ac6ab4a6f8b3f17f1d67af968fcd081ef50f485ba72ec5f480,355fd0d88a5b86a6944747159051c76bb24fb2e76118be46576c9aafcd908db6,,,
current,consumo_vs_2024_diario,1203.0,1203.0,0.0,13.0,13.0,13.0,,,False,2dd9a6c764d4c02b2e6a9e0e336facb0fde368b26a3f042fc748254d115755cf,c906cbf63711497a5ef6bd1a5cc3363b9989ae4d4888e8b60bc233df5be9aa62,,,
current,consumo_vs_2024_semanal,173.0,173.0,0.0,13.0,13.0,13.0,,,False,0db47e2f9b0c64a48e6c8c6427883355772f333bcfb1083a7a90b7f698b5e231,7442e4ac178f5b819cdba6fa4c5d672f136d8fb7258d4c399ea560c4db45ec83,,,
current,consumo_progreso_actual,15.0,15.0,0.0,21.0,21.0,21.0,,,False,1eb3befd85d7d94a6f3515ae220151e088dfc1472372fcdb910df1ad1ad85ccb,63211a6b1c77c065f59db492d29f3b5b7c0b422ba0593f8e4dc1766ed98b224a,,,
current,dim_kpi,5.0,5.0,0.0,10.0,10.0,10.0,,,True,cd1634a76cf112264c344cad6e769ec25a63acaa843eed63d6b6cb770b2b8142,cd1634a76cf112264c344cad6e769ec25a63acaa843eed63d6b6cb770b2b8142,,,
current,_metadata,,,,,,,,,,,,consumption_outputs,/Users/rubendiezllamas/Desktop/proyectos/Warehouse_Analysis/outputs/consumption,2026-04-01T18:11:01.144Z
